Lord ID,Name,Division,Alliance ID,Alliance Tag,Current Power,Power,Merits,Units Killed,Units Dead,Units Healed,T1 Kill Count,T2 Kill Count,T3 Kill Count,T4 Kill Count,T5 Kill Count,Building Power,Hero Power,Legion Power,Tech Power,Victories,Defeats,City Sieges,Scouted,Helps Given,Gold,Gold Spent,Wood,Wood Spent,Ore,Ore Spent,Mana,Mana Spent,Gems,Gems Spent,Resources Given,Resources Given Count,City Level,Faction
1189958,Pax HALDRION,106,197524,MLS,"28,12,10,223","33,67,41,236","6,12,68,442","2,07,67,99,954","18,21,356","84,12,05,880","58,16,39,831","69,03,725","1,54,19,814","1,05,31,87,222","41,94,37,300","1,86,80,998","1,14,55,360","21,93,41,334","3,17,32,531","2,04,938","2,29,305",600,436,"87,800","67,12,78,158","25,44,36,14,609","58,83,64,256","22,42,80,62,659","23,34,96,379","18,87,84,77,655","3,11,68,97,254","12,71,73,72,251",83,"1,36,64,302","19,79,34,08,308","4,003",25,League of Order
4893984,MAK LANNISTER,106,197524,MLS,"15,76,14,777","15,76,14,777","54,01,566","80,71,10,448","30,63,752","39,01,32,889","2,65,99,220","1,56,16,917","3,41,29,093","63,16,87,540","9,76,26,199","1,86,80,998","86,00,300","9,85,99,073","3,17,34,406","1,08,328","73,318",981,916,"61,097","43,53,79,280","14,27,16,85,987","36,93,21,295","13,42,31,39,368","20,43,36,898","10,54,12,00,610","1,23,97,54,500","9,61,49,54,049",645,"48,65,635","2,51,12,05,975",578,25,League of Order
4829749,Ironman mk1,106,197524,MLS,"11,83,91,041","11,83,91,041","2,12,12,462","41,90,54,692","15,96,764","22,63,42,824","2,33,97,073","34,96,280","92,54,201","30,69,26,826","7,58,01,370","1,86,80,998","88,55,190","5,91,22,322","3,17,32,531","1,29,313","22,848",149,920,"1,51,855","1,86,03,30,334","8,35,92,45,597","1,61,97,87,848","8,36,81,87,321","1,27,33,43,244","5,46,88,57,622","2,07,90,35,442","5,61,02,86,462",228,"32,04,367","49,96,48,924",115,25,Springwardens
5288699,ID Unknown,106,197524,MLS,"11,66,58,560","11,66,58,560","76,42,161","35,33,69,332","3,86,831","29,47,50,120","3,39,21,464","16,20,420","28,86,388","23,07,99,709","8,40,99,976","1,86,80,998","71,94,990","5,90,50,041","3,17,32,531","1,33,725","45,772",24,189,"1,26,427","2,09,57,91,396","6,06,49,44,324","3,65,16,99,413","7,70,44,61,704","2,71,18,30,904","5,12,09,08,002","2,54,52,52,994","4,28,42,33,613","6,221","10,61,777","1,69,51,33,796",351,25,League of Order
4590187,Darkwow,106,197524,MLS,"10,30,58,503","10,30,58,503","2,83,855","25,22,16,996","14,70,787","20,11,28,357","1,07,78,595","43,33,635","71,67,061","21,10,92,238","1,84,95,798","1,86,80,998","84,80,750","4,41,64,224","3,17,32,531","91,357","18,943",707,696,"64,338","3,08,57,25,318","7,29,56,47,276","3,05,34,91,037","8,14,06,86,740","2,06,16,71,872","5,40,74,03,880","2,29,10,16,557","4,76,26,85,591","5,483","25,09,165","80,79,53,092",171,25,Springwardens
4959011,Pearcey,106,197524,MLS,"10,17,77,422","10,17,77,422","2,46,50,112","47,68,38,779","15,45,254","25,42,96,039","1,89,20,190","35,81,776","79,31,334","38,25,85,748","6,37,11,093","1,86,80,998","86,62,760","4,27,01,133","3,17,32,531","95,073","26,558",96,"1,004","1,15,146","1,80,39,60,469","8,59,76,17,455","1,73,13,05,622","7,61,32,70,336","1,68,50,99,600","6,59,67,66,653","2,36,65,35,497","5,08,34,92,504","3,499","34,94,822","15,04,81,886",44,25,League of Order
4979918,ᴳᴼᵂRowdy,106,197524,MLS,"10,09,46,265","10,09,58,045",,"7,19,38,477","2,90,525","10,94,94,943","7,91,021","10,32,031","28,35,436","5,61,58,302","1,10,23,551","1,86,80,998","64,00,180","4,39,40,556","3,17,32,531","71,799","8,063",117,353,"78,996","2,46,35,25,193","3,91,13,33,849","2,28,37,30,680","3,91,47,24,695","1,63,31,24,208","2,91,78,87,850","98,46,61,398","2,59,72,80,576","3,256","7,60,294","3,00,74,059",10,25,League of Order
5477560,Haaden,106,197524,MLS,"9,97,07,936","9,97,07,936","47,54,889","13,96,54,439","8,67,733","18,61,05,753","29,86,612","2,95,971","12,02,696","10,36,92,746","3,14,25,838","1,70,38,418","75,80,400","4,33,56,587","3,17,32,531","48,454","25,305",22,167,"1,16,884","1,27,59,22,017","3,81,47,37,930","1,49,86,51,495","4,89,75,15,923","98,85,25,436","3,48,75,30,932","1,22,65,06,244","2,86,51,36,760","1,906","14,55,784","2,95,59,342",16,25,League of Order
5919688,ᴳᴼᵂElectrdizzle,106,197524,MLS,"9,46,01,508","9,46,01,508","27,041","7,09,80,511","6,10,845","13,73,76,627","12,96,375","6,46,233","17,31,073","5,32,18,984","1,40,48,700","1,86,80,998","56,12,780","3,83,83,199","3,17,32,531","70,045","8,737",75,161,"1,02,587","2,00,71,00,687","4,04,68,89,824","2,00,03,68,711","4,16,44,92,406","1,62,94,56,646","3,26,37,38,762","1,53,12,02,709","2,67,91,80,518",735,"6,96,284","4,47,57,639",32,25,Springwardens
4413267,erlet,106,197524,MLS,"9,20,79,504","9,20,79,504","2,98,963","18,11,91,342","13,32,010","21,02,31,833","35,30,163","18,02,667","35,00,397","15,72,90,621","1,49,21,136","1,86,80,998","82,92,960","3,31,81,015","3,17,32,531","53,365","22,030",64,"1,673","1,11,230","3,81,48,23,827","7,24,98,61,328","3,75,18,67,744","7,16,81,81,118","2,86,29,79,645","5,89,13,35,087","1,91,37,40,173","4,04,30,31,698","14,012","14,08,531","59,15,12,783",122,25,Wilderburg
